IQ,Academic_Performance,Internship_Experience,Placement,CGPA_bin,Comm_bin,Projects_bin
107,8,No,No,Medium,High,High
97,8,No,No,Low,High,Low
109,9,No,No,Low,Low,Low
122,6,Yes,No,Low,Medium,Low
96,7,No,No,High,High,Medium
96,7,No,No,Low,High,Low
123,5,No,Yes,Medium,High,Medium
111,7,No,Yes,High,Low,Medium
92,9,No,No,Medium,High,High
108,4,No,No,High,High,Low
93,2,Yes,No,High,Medium,Low
93,8,No,No,Medium,Medium,High
103,7,Yes,No,High,Medium,Low
71,6,No,No,High,Medium,Medium
74,7,No,No,Medium,Low,Medium
91,3,No,No,Low,Low,Medium
84,6,No,No,High,High,Low
104,10,Yes,No,,Low,High
86,7,No,Yes,High,High,High
78,7,Yes,No,Low,Medium,Medium
121,5,Yes,Yes,High,Low,Medium
96,3,Yes,No,Medium,Low,Medium
101,2,Yes,No,High,High,Low
78,7,Yes,Yes,High,High,Medium
91,4,Yes,No,High,Low,Medium
101,2,No,No,High,Medium,Medium
82,8,No,No,High,Low,Low
105,2,No,No,High,Low,High
90,6,Yes,No,Low,High,Low
95,4,Yes,No,High,Low,Medium
90,9,Yes,No,High,Low,High
127,5,No,No,Medium,Low,Low
99,4,No,No,Medium,High,High
84,8,No,No,Medium,Medium,High
112,3,Yes,Yes,High,High,High
81,9,Yes,No,High,Medium,High
103,8,Yes,No,Low,High,Medium
70,8,No,No,High,Low,High
80,10,Yes,No,Low,Medium,Low
102,5,No,No,High,Medium,Low
111,1,No,No,Medium,Low,Medium
102,10,No,No,Medium,Medium,High
98,9,No,No,Low,Low,Low
95,2,Yes,No,Low,Low,Low
77,1,Yes,No,High,Medium,Low
89,6,Yes,No,High,Medium,Low
93,1,Yes,No,Low,Low,Low
115,10,Yes,No,Low,Low,Low
105,10,No,No,Low,High,Low
73,10,Yes,No,High,Medium,High
104,7,No,Yes,High,High,High
94,7,Yes,No,Low,High,High
89,1,Yes,No,High,Low,Low
109,10,No,No,Low,Low,Low
115,5,No,Yes,High,Medium,Medium
113,3,No,Yes,High,High,Medium
87,2,No,No,High,Medium,Medium
95,5,No,No,High,Medium,Medium
104,5,No,Yes,High,High,High
114,2,Yes,Yes,High,Medium,Medium
92,6,No,No,High,Low,Medium
97,7,No,No,Medium,Low,Medium
83,1,No,No,Medium,High,Low
82,3,No,No,Medium,Medium,High
112,4,No,Yes,High,High,Low
120,2,No,No,Low,Medium,High
98,10,Yes,No,Medium,Low,Low
115,5,Yes,No,Medium,Low,Medium
105,4,No,No,Medium,High,High
90,2,No,No,High,Medium,Medium
105,1,Yes,No,High,Low,Low
123,8,No,Yes,High,High,Low
99,2,No,Yes,High,High,Medium
123,4,No,No,High,High,Low
60,10,Yes,No,High,Low,High
112,5,No,Yes,Medium,High,Medium
101,2,No,Yes,High,High,High
95,10,No,No,Medium,High,Medium
101,9,Yes,No,Low,Medium,High
70,2,No,No,High,Medium,Low
96,6,No,No,Low,High,Medium
105,7,No,No,Medium,Low,High
122,6,No,No,Low,Medium,High
92,4,No,No,Medium,High,Low
87,1,No,No,Medium,Low,Medium
92,2,No,No,Low,Low,Medium
113,10,No,No,High,Low,Low
104,10,Yes,Yes,High,High,High
92,6,No,No,Medium,Low,Low
107,8,Yes,No,High,Low,High
101,3,Yes,No,Low,Low,High
114,7,No,No,Medium,Medium,High
89,9,No,No,Low,Medium,High
95,4,Yes,No,High,High,Low
94,7,No,No,Medium,Low,High
78,7,No,Yes,High,High,Medium
104,10,No,Yes,High,High,High
103,9,Yes,No,High,Low,Medium
100,3,No,No,High,High,Low
96,1,Yes,No,High,Low,Low
78,8,Yes,No,Medium,High,Low
93,4,No,No,Medium,Low,High
94,2,No,No,High,Low,High
87,5,No,No,High,Medium,High
97,4,No,No,Medium,High,High
106,1,Yes,No,Medium,Medium,Low
128,7,No,No,High,Low,Low
102,4,No,No,Medium,High,High
103,8,Yes,No,Low,Medium,Medium
98,9,No,Yes,High,High,High
71,8,Yes,No,High,Low,High
99,1,No,No,High,Medium,Low
100,8,Yes,Yes,High,High,Medium
136,5,No,Yes,High,High,Medium
97,1,Yes,No,Low,Medium,Low
104,9,Yes,No,Low,Medium,Medium
99,9,No,No,Medium,Medium,Low
82,7,No,No,High,Low,Low
117,7,No,No,Low,Low,High
111,1,No,No,,Medium,Low
111,9,No,No,Medium,Low,High
86,1,Yes,No,Medium,High,Medium
121,7,No,No,Medium,Medium,High
78,9,No,No,Medium,High,High
108,9,No,No,High,Medium,Low
132,5,No,Yes,High,Low,Medium
85,6,No,No,Medium,Low,Medium
91,2,No,No,,High,Low
101,2,No,Yes,High,High,High
92,10,No,No,Medium,High,High
76,9,No,No,High,Low,Low
101,1,No,No,Medium,Medium,Low
84,10,Yes,No,Medium,High,Medium
107,5,Yes,No,Low,Low,Low
86,7,No,No,High,Low,Low
123,10,Yes,No,Low,High,Low
88,6,No,Yes,High,High,Medium
95,6,No,No,High,Low,Low
112,6,No,No,Medium,Low,High
81,8,No,No,Medium,High,Medium
103,7,Yes,No,Medium,Low,Low
119,5,No,Yes,High,Medium,High
75,10,No,No,Medium,High,High
102,2,Yes,No,High,High,Low
103,10,No,No,Medium,Medium,Low
111,6,Yes,No,Low,Low,High
81,10,No,No,Low,High,Medium
80,5,No,No,Low,High,Medium
107,4,Yes,No,High,Low,High
104,10,No,No,High,Medium,High
103,5,No,No,Medium,Medium,High
105,9,No,No,High,Medium,High
89,2,Yes,No,Low,Medium,Low
103,6,No,No,High,Medium,High
104,9,No,No,Low,Low,Medium
